,T1.txt,T10.txt,T2.txt,T3.txt,T4.txt,T5.txt,T6.txt,T7.txt,T8.txt,T9.txt
cheaper,0,0,0,0,1,0,0,0,0,0
check,0,0,1,1,0,1,0,0,3,0
cheetah,0,0,0,0,0,0,0,0,0,1
chemic,6,0,0,11,0,1,0,5,2,3
chemist,1,0,0,3,0,0,0,0,1,0
chemistri,0,0,0,0,0,0,0,0,0,1
chequer,0,0,1,0,0,0,0,0,0,0
chiasmodon,0,0,0,0,0,0,0,0,0,1
chick,0,2,0,1,0,0,0,0,0,0
chicken,0,1,0,0,0,0,0,0,0,2
chief,2,0,2,2,1,1,0,0,1,2
chiefli,0,1,0,0,2,0,0,0,0,0
child,0,0,1,2,0,0,0,0,0,1
children,0,0,0,0,0,0,0,0,0,1
chimpanze,0,0,0,0,0,0,0,0,0,8
chin,0,0,2,0,0,0,0,0,0,0
chisel,0,1,0,0,0,0,0,0,0,0
chitin,0,0,1,0,0,0,0,0,0,0
chlorophyl,1,0,0,3,0,0,0,0,0,0
choos,0,1,1,0,0,0,0,0,1,0
christen,0,0,0,0,0,0,0,1,0,0
chromosom,0,0,0,8,0,0,0,0,0,0
chromospher,0,0,0,0,0,0,0,0,0,4
chrysali,0,0,1,0,0,0,0,0,0,0
church,0,0,1,2,0,0,0,0,0,0
churn,1,0,0,0,0,0,0,0,0,0
cilia,0,0,0,1,0,0,0,0,0,0
cinder,0,1,0,0,0,0,0,0,0,0
circl,3,0,1,1,0,0,0,0,0,5
circuit,5,0,0,0,0,0,0,0,0,1
circul,3,0,0,0,1,0,0,0,0,1
circular,1,0,0,0,0,0,1,0,0,1
circumst,0,0,1,0,0,0,0,0,0,0
citi,1,0,0,1,0,0,1,0,2,0
citizen,0,0,0,0,0,0,0,0,0,1
civilis,3,0,1,2,0,0,0,0,0,2
claim,0,0,0,0,0,0,1,0,1,1
clam,0,1,0,0,0,0,0,0,0,0
class,0,0,6,1,1,2,1,0,0,3
claviu,0,0,0,0,0,1,0,0,0,0
claw,0,0,4,0,0,0,0,0,0,0
clear,1,1,2,3,0,1,2,0,1,2
clearer,0,0,0,2,0,0,0,0,0,0
clearli,2,1,1,0,0,2,0,0,1,1
cleaver,0,0,0,1,0,0,0,0,0,0
cleft,0,0,4,0,0,0,0,0,0,0
clerk,0,0,0,0,0,0,0,0,1,1
clever,0,2,0,1,0,0,0,0,0,0
cliff,1,0,0,1,0,0,0,0,0,0
climat,0,0,6,0,0,0,1,0,0,0
climax,0,3,4,0,0,0,0,0,0,0
climb,0,0,1,0,0,0,0,0,0,1
climber,0,0,2,0,0,0,0,0,0,0
clock,0,0,0,0,2,0,0,0,0,0
clodd,0,0,1,0,0,0,0,0,0,0
clog,0,0,0,1,0,0,0,0,0,0
close,0,0,1,4,2,1,0,1,0,2
cloud,4,0,0,1,2,2,4,1,0,4
cloudlet,0,0,0,0,0,0,0,2,0,0
club,0,0,4,0,0,0,0,0,0,0
cluck,0,2,0,0,0,0,0,0,0,0
clue,0,0,0,1,0,0,0,0,0,1
cluster,0,0,0,0,1,4,0,1,1,1
clutch,0,0,0,1,0,0,0,0,0,0
cmc,0,0,1,0,0,0,0,0,0,0
co,1,1,2,0,0,0,0,0,0,3
coal,18,0,2,0,0,0,0,0,0,1
coastlin,0,0,0,0,0,0,0,0,1,0
cock,0,1,0,1,0,0,0,0,0,0
coconut,0,0,0,0,0,0,0,0,0,1
cocoon,0,0,1,2,0,0,0,0,0,0
cod,0,0,1,0,0,0,0,0,0,0
code,0,0,0,0,0,0,1,0,1,0
cog,1,0,0,0,0,0,0,0,0,0
coher,0,0,0,3,0,0,0,0,0,0
cohes,0,0,0,0,0,0,0,0,1,0
coil,5,0,0,0,0,0,0,0,0,0
coin,1,0,0,1,0,0,0,0,0,0
coincid,0,0,0,0,0,0,0,0,1,0
cold,3,1,1,1,0,3,5,2,0,0
colder,0,0,0,0,0,0,0,0,1,0
coldest,0,0,0,0,0,1,0,0,0,0
collar,0,0,1,1,0,0,0,0,0,0
collect,0,0,1,6,1,0,0,0,4,8
colleg,0,0,0,0,0,1,0,0,0,3
colli,0,1,0,0,0,0,0,0,0,0
collid,0,0,0,0,1,0,0,0,0,0
collis,1,0,0,0,0,0,0,1,0,0
coloni,0,0,2,7,0,0,0,0,0,8
colonis,0,0,6,0,0,0,0,0,0,0
color,0,0,0,0,0,0,0,0,0,3
coloss,0,0,0,0,0,0,0,0,1,1
colour,32,0,1,0,0,2,0,16,0,16
columbia,0,0,0,0,0,1,0,0,0,1
columbu,0,0,0,0,0,0,0,0,0,1
column,0,0,0,0,0,0,0,0,0,1
coma,0,0,0,0,2,0,0,0,0,0
combin,1,1,1,0,0,0,1,1,1,0
combust,1,0,1,0,0,0,0,5,0,0
come,4,3,5,15,1,3,0,4,3,1
comet,0,0,0,0,0,14,0,1,0,8
command,0,0,0,2,0,0,0,0,0,1
commerci,0,0,0,0,0,0,0,0,1,0
commit,0,0,0,0,0,0,0,0,1,0
commod,1,0,0,0,0,0,0,0,0,0
common,2,0,1,2,2,1,0,0,0,6
commonli,0,0,0,1,0,1,0,0,0,0
commun,1,0,1,2,0,0,1,1,0,0
compact,0,0,1,0,0,0,0,0,0,1
compani,1,0,0,0,0,0,0,0,0,0
companion,0,0,0,0,1,0,0,0,0,0
compar,2,3,7,0,2,2,1,1,2,6
comparison,1,0,0,0,0,1,0,0,0,2
compass,1,0,0,0,0,0,0,1,0,1
competit,0,1,3,0,0,0,0,0,0,0
compil,0,0,0,0,1,0,0,0,1,0
complet,2,0,1,4,0,0,0,2,6,2
complex,6,0,5,4,0,0,0,0,0,1
compli,0,0,0,0,0,0,0,0,9,0
complianc,0,0,0,0,0,0,0,0,5,0
complic,4,0,0,2,0,0,0,0,3,0
compon,0,0,0,1,0,0,0,0,0,0
compos,2,0,0,0,0,2,0,3,0,0
composit,0,0,0,1,0,0,0,3,0,2
compound,2,0,1,3,0,0,0,1,0,0
comprehens,0,0,0,0,1,0,0,0,0,1
compress,0,0,0,0,0,0,0,0,1,0
compris,0,0,1,0,0,0,0,0,2,1
compromis,0,0,0,1,0,0,0,0,0,0
comput,0,0,0,0,0,0,0,0,4,0
concaten,0,0,1,0,0,0,0,0,0,0
conced,0,0,0,0,1,0,0,0,0,0
conceiv,1,0,0,0,1,0,1,0,1,0
concentr,0,0,0,1,0,0,0,0,0,1
concept,3,0,0,0,0,0,0,1,3,2
conceptu,0,0,2,0,0,0,0,0,0,0
concern,1,0,1,1,0,0,0,0,3,2
concis,0,0,0,0,0,0,0,0,0,1
conclud,1,0,0,1,0,1,0,0,0,0
conclus,2,0,0,2,0,0,0,0,2,1
concret,0,0,0,1,0,0,0,0,0,0
condens,0,0,1,5,0,6,0,0,0,2
condit,1,1,10,5,1,1,2,3,1,2
conduct,0,0,3,1,0,0,0,0,0,0
conductor,2,0,0,0,0,0,0,0,0,0
cone,0,2,0,0,0,0,0,0,0,0
confer,1,0,0,0,0,0,0,0,0,0
confess,0,0,1,0,0,0,0,0,0,1
confid,0,0,0,0,0,0,1,0,0,0
confin,1,0,0,1,0,0,0,0,0,0
confirm,0,0,0,0,0,1,0,1,2,0
conflagr,0,0,0,0,2,0,0,0,0,0
conger,0,0,1,0,0,0,0,0,0,0
congest,0,0,1,0,0,0,0,0,0,0
conic,0,1,0,0,0,0,0,0,0,0
conif,0,0,4,0,0,0,0,0,0,0
conjectur,0,0,0,1,0,0,0,0,0,0
conjug,0,1,0,0,0,0,0,0,0,0
conjunct,1,0,0,0,0,0,0,0,0,0
connaiss,0,0,0,0,1,0,0,0,0,0
connect,3,0,1,3,0,0,0,4,1,0
conquer,0,0,4,0,0,0,0,0,0,1
conquest,0,0,6,0,0,0,0,0,1,1
consciou,0,0,0,1,0,0,0,0,0,0
consequ,2,0,3,1,0,2,0,0,3,1
consequenti,0,0,0,0,0,0,0,0,1,0
conserv,1,0,2,0,0,0,0,0,0,0
consid,6,0,0,3,1,2,1,0,3,2
consider,1,1,3,2,8,0,0,1,6,0
consist,9,1,2,2,3,1,0,1,0,0
conspicu,0,1,1,0,0,0,0,0,0,0
constant,3,0,1,0,0,0,0,1,3,0
constantli,4,1,0,0,0,0,0,1,0,0
constitu,1,0,0,0,1,0,0,3,0,0
constitut,6,0,2,1,2,0,0,1,4,4
construct,1,1,0,1,7,0,0,0,0,0
consum,0,0,0,1,0,0,0,0,0,0
contact,0,0,0,3,0,0,0,0,6,1
contain,8,0,1,2,1,2,1,1,4,1
contend,1,0,0,0,0,0,0,0,0,0
content,0,1,0,0,1,0,0,0,1,1
contin,0,0,3,2,0,0,0,0,0,0
continent,0,0,1,0,0,0,0,0,0,0
conting,0,0,2,0,0,0,0,0,0,0
continu,7,2,11,6,0,4,0,4,5,4
contract,1,0,0,3,0,6,0,0,1,0
contractil,0,0,0,1,0,0,0,0,0,0
contrari,0,0,0,1,0,0,1,0,0,0
contrast,0,1,3,3,0,0,0,2,0,0
contribut,0,0,1,2,0,0,0,0,2,0
control,2,0,5,4,0,0,0,0,0,2
controversi,0,0,0,0,1,1,1,0,0,0
conveni,0,0,1,0,1,1,0,0,0,0
convent,0,0,0,0,0,0,0,0,0,1
converg,0,0,1,0,0,0,0,0,0,0
convers,1,0,0,0,0,0,0,0,0,0
convert,3,0,0,0,0,0,0,2,1,0
convey,2,0,0,0,0,1,0,0,0,0
convict,0,0,0,0,0,0,0,0,0,1
convinc,1,0,2,0,1,0,0,0,0,0
convolut,0,0,0,1,0,0,0,0,0,0
cool,5,0,1,2,0,4,4,3,1,0
cooler,0,0,0,0,0,1,0,1,0,1
coolest,0,0,0,0,0,1,0,1,0,0
cooper,0,1,0,0,0,0,0,0,0,0
coot,0,1,0,0,0,0,0,0,0,0
copernicu,0,0,0,0,0,0,1,0,0,0
copi,0,0,0,0,0,0,0,0,24,1
copiou,0,0,1,0,0,0,0,0,0,0
copper,15,0,0,0,0,0,0,2,0,0
copyright,0,0,0,0,0,0,0,0,14,1
coral,0,0,0,5,0,0,0,0,0,1
cord,0,0,2,2,0,0,0,0,0,0
core,0,2,0,0,0,0,1,0,0,1
corner,0,1,3,1,0,0,0,0,0,0
corona,0,0,0,0,0,1,0,3,0,2
coronium,0,0,0,0,0,0,0,1,0,1
corpor,0,0,0,0,0,0,0,0,1,0
corpuscl,0,0,0,3,0,0,0,0,0,0
corpuscular,0,0,0,0,0,0,0,0,1,0
correspond,1,0,2,4,0,3,0,5,1,0
correspondingli,0,0,0,0,0,0,0,0,1,0
corrobor,0,1,0,0,0,0,0,0,0,0
corrupt,0,0,0,0,0,0,0,0,1,0
cosmic,0,0,0,1,1,1,0,0,0,0
cost,1,0,0,1,0,0,0,0,4,1
cotton,0,0,0,0,0,0,0,0,0,1
cough,0,0,0,1,0,0,0,0,0,0
could,8,1,5,2,1,0,3,4,9,6
count,1,2,1,0,2,1,0,0,0,4
counteract,0,0,2,0,0,0,0,0,0,0
counterbal,0,0,0,0,0,0,0,0,1,0
counterpart,0,0,0,1,0,0,0,0,0,0
countri,0,0,0,0,2,0,0,0,3,0
coupl,0,1,0,0,0,0,0,0,0,0
courag,0,0,1,0,0,0,0,0,0,0
cours,4,2,9,3,1,2,0,3,4,2
cover,1,0,3,4,1,0,0,1,0,0
crab,0,0,3,0,0,0,0,0,0,3
crack,0,0,0,1,0,0,0,0,0,0
cradl,0,0,6,1,0,0,0,0,0,0
crash,0,1,0,0,0,0,0,0,0,0
crater,0,0,0,0,0,4,3,0,0,1
crayfish,0,1,0,0,0,0,0,0,0,0
creat,7,0,0,0,0,0,0,0,8,0
creation,0,0,3,0,0,0,0,0,1,0
creatur,0,3,18,26,0,0,0,0,0,2
credit,0,1,3,0,0,0,0,0,1,0
creep,0,0,1,0,0,0,0,0,0,1
cremat,0,0,0,0,0,1,0,0,0,0
crest,6,0,0,0,0,0,0,2,0,0
cretac,0,0,5,0,0,0,0,0,0,0
crevic,0,0,0,1,0,0,0,0,0,0
cribb,0,0,0,0,0,0,0,0,1,1
critic,1,0,0,0,0,0,0,0,2,0
crocodil,0,1,3,0,0,0,0,0,0,0
cromagnard,0,0,0,0,0,0,0,0,0,1
cromagnon,0,0,0,0,0,0,0,0,0,1
crook,0,0,0,0,0,0,0,0,0,1
crop,0,1,2,0,0,0,0,0,0,0
cross,0,0,3,1,1,1,0,1,2,0
crouch,0,1,0,0,0,0,0,0,0,0
crow,0,0,2,0,0,0,0,0,0,0
crowd,2,2,2,0,0,1,0,0,0,0
crown,0,0,3,2,0,0,0,0,1,2
crust,1,0,4,4,0,0,0,0,2,3
crustacean,0,0,3,0,0,0,0,0,0,1
crystal,2,0,0,1,0,0,0,0,0,1
cubic,0,0,0,0,0,2,0,0,0,0
cuckoo,0,0,0,0,0,0,0,0,0,1
cucumb,0,0,1,0,0,0,0,0,0,1
culmin,1,0,3,0,0,0,0,0,0,1
cultiv,0,1,1,0,0,0,0,0,0,0
cup,0,0,0,0,0,1,0,0,0,0
curios,0,0,2,0,1,0,0,0,0,0
curiou,0,0,0,0,0,0,0,0,0,1
current,28,2,0,2,0,0,0,1,2,3
curv,0,0,0,3,0,0,0,0,0,0
cut,1,1,1,2,0,1,0,1,0,1
cuttlefish,0,0,3,0,0,0,0,0,0,2
cuvier,0,0,1,0,0,0,0,0,0,1
cv,0,0,0,1,0,0,0,0,0,0
cycad,0,0,4,0,0,0,0,0,0,0
cylind,0,0,0,1,0,0,0,0,0,0
cynodont,0,0,1,0,0,0,0,0,0,0
daili,1,1,1,0,1,0,0,0,1,1
damag,0,0,1,0,0,1,0,0,7,0
damp,0,1,0,0,0,0,0,0,0,0
dancer,1,0,0,0,0,0,0,0,0,0
dando,0,0,0,0,0,0,0,0,0,2
danger,0,2,2,1,0,0,0,0,0,0
daniel,0,0,0,0,0,0,0,0,1,0
dark,3,1,1,0,3,2,2,8,0,2
darken,0,1,0,0,0,0,0,0,0,0
darwin,0,0,6,1,0,0,0,0,3,3
dash,0,0,0,0,0,1,0,0,0,0
dasypelti,0,1,0,0,0,0,0,0,0,0
data,0,0,0,0,0,0,0,1,1,0
date,0,0,1,1,1,0,0,0,2,2
daughter,0,0,0,7,0,0,0,0,0,0
dawn,0,0,0,2,0,0,1,0,1,2
day,8,7,15,10,4,8,1,4,23,21
daylight,0,0,0,0,0,1,0,0,0,0
dazzl,0,0,0,0,0,0,0,0,0,1
de,0,0,0,0,0,0,0,0,0,2
dead,2,0,0,0,8,1,1,0,0,2
deadli,0,0,0,1,0,0,0,0,0,0
deal,2,4,0,2,1,0,1,2,1,4
dealt,2,0,0,3,0,0,0,0,1,0
death,0,0,1,12,4,0,0,0,0,3
debas,0,0,1,0,0,0,0,0,0,0
debat,0,0,0,0,1,0,0,0,0,0
debri,0,0,1,0,0,0,0,0,0,1
debt,0,0,0,1,0,0,0,0,0,0
decant,0,0,0,0,0,0,0,1,0,0
decay,0,0,1,0,0,0,0,0,0,0
deciph,0,0,0,0,1,0,0,0,0,0
declar,0,0,0,0,0,0,0,0,0,1
declin,0,0,0,0,1,0,0,0,0,0
decompos,0,0,0,0,0,0,0,1,0,0
decor,0,0,0,1,0,0,0,0,0,0
decreas,1,0,1,0,0,0,0,1,2,0
deduc,0,0,0,0,0,0,0,0,0,1
deduct,0,0,0,0,0,0,0,0,1,0
deep,6,1,4,3,0,1,1,1,0,5
deepen,0,0,0,0,0,0,0,0,0,2
deeper,0,0,0,1,0,0,0,0,0,1
deepli,4,0,2,0,0,0,0,1,0,0
deer,0,0,1,0,0,0,0,0,0,0
defect,0,0,0,0,0,0,0,0,7,0
defenc,0,0,1,0,0,0,0,0,0,0
defenceless,0,0,1,0,0,0,0,0,0,0
defici,1,0,0,0,0,0,0,0,0,0
defin,0,1,0,0,0,0,0,1,0,0
definit,5,2,5,4,0,1,0,5,0,1
deflect,2,0,0,0,0,0,0,0,0,1
degener,0,0,1,0,0,0,0,0,0,0
degeneraci,0,0,1,0,0,0,0,0,0,0
degre,0,1,2,6,1,0,1,2,1,2
delet,0,0,0,0,0,0,0,0,1,0
delic,0,0,2,0,0,0,0,0,1,1
demand,0,0,0,0,0,0,0,0,2,0
demonstr,0,1,0,0,0,0,0,0,0,0
dendrit,0,0,0,1,0,0,0,0,0,0
deni,0,0,0,0,0,0,0,0,0,1
denot,0,0,0,0,0,0,0,1,0,0
dens,1,0,0,1,0,2,1,0,0,1
denser,1,0,0,0,2,1,0,0,0,0
densiti,0,0,0,0,0,1,0,0,1,0
dent,0,0,1,0,0,0,0,0,0,0
dentit,0,0,0,0,0,0,0,0,0,1
depart,0,0,2,0,0,0,0,0,0,2
departur,0,1,2,0,0,0,0,0,0,1
depend,7,1,5,4,2,0,0,0,1,2
deperet,0,0,1,0,0,0,0,0,0,0
depict,0,0,0,0,0,0,1,0,0,0
deplet,0,0,0,0,0,0,0,0,1,0
deposit,1,0,5,2,0,0,0,0,0,0
depositori,0,0,0,0,0,0,0,0,0,1
depress,0,0,1,1,0,0,0,0,0,0
depth,0,0,1,0,0,0,0,0,0,1
deriv,2,0,0,0,0,1,0,0,6,2
descend,1,0,4,0,0,0,0,0,0,0
descent,0,0,2,0,0,0,0,0,0,0
describ,3,0,2,1,1,1,0,3,1,1
descript,0,0,1,1,0,0,0,0,0,1
deserv,0,0,0,0,0,0,0,0,0,1
desir,0,1,1,0,2,0,0,0,0,0
despair,0,0,0,0,0,0,0,0,1,0
despit,0,0,0,0,0,0,0,0,1,0
destin,0,0,1,0,0,0,0,1,0,0
destroy,5,0,2,0,0,0,0,0,4,0
destruct,0,0,0,1,0,0,0,0,0,0
detach,1,0,0,0,0,0,0,0,1,0
detail,1,0,1,0,0,0,0,1,0,0
detect,2,0,0,0,0,0,1,5,4,4
deterior,0,0,0,1,0,0,0,0,0,0
determin,0,0,2,0,1,0,0,1,1,1
develop,0,4,10,10,2,3,1,0,2,2
devic,1,0,1,0,2,0,0,0,0,2
devis,0,0,0,0,0,0,0,0,0,1
devonian,0,0,9,0,0,0,0,0,0,0
devour,0,0,1,2,0,0,0,0,0,0
dewey,0,0,0,0,0,0,0,0,0,1
dexter,0,3,1,0,0,0,0,0,0,0
dia,0,0,0,0,0,0,0,0,0,1
diagram,6,1,1,4,0,1,0,4,0,11
diamet,2,1,0,4,6,1,2,1,0,3
diamond,3,0,1,0,1,0,0,0,0,1
dictum,0,1,0,0,0,0,0,0,0,0
die,0,0,2,2,4,0,0,1,0,1
differ,13,2,20,17,8,2,5,5,4,3
differenti,0,0,0,1,0,0,0,0,0,0
difficult,1,1,4,0,1,1,1,3,1,1
difficulti,3,0,8,3,1,1,1,0,1,0
diffract,0,0,0,0,2,0,0,0,0,0
diffus,0,0,0,0,0,2,0,0,1,0
digest,0,0,1,3,0,0,0,0,0,0
digit,0,0,2,0,0,0,0,0,0,0
dilut,0,0,0,0,0,0,0,1,0,0
dim,0,0,0,1,0,2,0,0,0,0
dimens,0,0,2,0,1,2,0,0,0,1
diminish,0,0,0,0,0,0,0,1,0,0
dimli,0,0,0,0,0,0,0,0,0,1
dingo,0,0,0,0,0,0,0,0,0,1
dinosaur,0,0,5,0,0,0,0,0,0,0
dint,0,0,0,2,0,0,0,0,0,0
dioxid,0,0,0,1,0,0,0,0,0,0
diplodocu,0,0,0,0,0,0,1,0,0,0
dipnoi,0,0,1,0,0,0,0,0,0,0
direct,7,2,8,2,7,2,2,2,2,3
directli,2,1,1,1,1,1,0,0,3,2
director,0,0,1,0,0,0,0,0,1,0
disadvantag,0,0,0,2,0,0,1,0,0,0
disappear,2,1,4,1,0,0,0,0,0,0
disarrang,0,0,1,0,0,0,0,0,0,0
disc,2,0,0,0,0,0,0,0,0,5
discard,1,0,0,0,0,0,0,0,0,0
discern,0,0,1,1,0,0,0,0,0,0
discharg,5,0,0,1,0,0,0,0,0,2
discipl,0,0,0,0,0,0,0,0,0,1
disclaim,0,0,0,0,0,0,0,0,5,0
disclos,1,0,0,0,0,0,0,0,0,0
discontinu,0,0,0,0,0,0,0,0,1,0
discov,4,1,1,4,2,0,0,4,8,8
discover,1,0,1,0,0,0,0,0,0,0
discoveri,12,0,0,3,1,0,0,2,0,12
discrimin,0,1,0,0,0,0,0,1,0,1
discuss,1,0,0,0,1,0,0,0,2,0
diseas,0,0,0,1,0,0,0,0,0,1
disembodi,1,0,0,0,0,0,0,0,0,0
disentangl,0,0,0,0,1,0,0,0,0,0
disguis,0,0,0,0,0,0,0,0,0,1
disgust,1,0,0,0,0,0,0,0,0,0
disintegr,7,0,0,1,0,0,0,3,0,1
disk,0,0,0,0,0,0,0,0,1,0
disord,0,0,1,0,0,0,0,0,0,1
dispens,1,0,0,0,0,0,0,0,1,0
dispers,0,0,0,0,6,0,0,0,0,0
display,2,0,0,1,0,0,0,3,6,1
dispos,1,0,0,1,0,0,1,0,0,0
disposit,0,1,0,0,0,0,0,1,0,0
disput,1,0,0,0,1,0,3,0,0,0
disregard,0,1,0,0,0,0,0,0,0,0
disrupt,0,0,0,1,0,0,0,0,0,0
dissimilar,0,0,1,0,0,0,0,0,0,0
dissip,0,0,0,0,0,1,0,0,3,1
dissoci,0,0,0,0,0,0,0,0,0,1
dissolut,0,0,0,0,0,0,0,0,0,1
dissolv,1,0,4,3,0,0,0,0,0,0
distanc,12,1,1,1,9,4,2,2,2,26
distant,0,0,2,4,2,0,1,0,1,3
distinct,4,0,2,5,1,1,0,4,0,1
distinguish,0,0,1,0,0,0,0,0,0,2
distort,0,0,0,0,1,0,0,0,0,0
distribut,0,0,3,3,0,0,0,0,24,2
distributor,0,0,0,0,0,0,0,0,1,0
district,0,0,0,0,0,0,0,0,0,1
distrust,0,0,0,2,0,0,0,0,0,0
disturb,7,0,1,2,0,0,0,2,1,1
ditch,0,0,0,1,0,0,0,0,0,0
diurnal,0,0,0,0,0,0,0,0,1,0
dive,0,7,1,0,0,0,0,0,0,0
diver,0,0,1,0,0,0,0,0,0,0
diverg,0,0,0,1,0,0,1,0,0,0
divers,0,0,3,1,0,0,0,0,0,1
divert,1,0,0,0,0,0,0,0,0,0
divid,0,0,3,9,0,1,0,0,0,1
divis,0,0,1,7,0,0,0,0,0,0
doctrin,1,0,0,0,0,0,0,0,0,0
dog,0,5,1,1,0,0,0,0,0,3
dole,0,1,0,0,0,0,0,0,0,0
domain,0,0,0,0,1,0,0,0,8,0
domest,0,3,1,1,0,0,0,0,0,1
domin,0,0,4,0,0,0,0,0,0,0
dominion,0,0,0,0,1,0,0,0,0,0
donat,0,0,0,0,0,0,0,0,20,0
done,2,0,2,0,0,0,0,0,0,0
donkey,0,0,1,0,0,0,0,0,0,0
donor,0,0,0,0,0,0,0,0,1,0
doom,0,0,0,0,0,0,0,1,0,0
door,2,1,0,1,0,0,0,0,0,2
dormanc,0,0,0,1,0,0,0,0,0,0
dorsal,0,0,1,0,0,0,0,0,0,0
doubl,0,0,2,0,3,0,0,0,0,3
doubt,1,3,3,2,0,0,0,2,1,1
doubtless,1,1,1,1,0,0,0,0,1,0
dove,0,0,0,1,0,0,0,0,0,0
dover,0,0,0,1,0,0,0,0,0,0
download,0,0,0,0,0,0,0,0,1,0
downward,0,1,0,1,0,0,0,1,1,0
dozen,0,0,0,0,0,1,0,0,0,1
dr,1,0,0,0,0,0,0,0,2,0
draco,0,0,1,0,0,0,0,0,0,0
drag,0,0,0,0,0,0,0,0,1,0
dragon,0,0,5,0,0,0,0,0,0,2
dramat,0,0,0,0,0,0,0,0,0,1
draperi,0,0,0,0,0,0,0,1,0,0
draw,0,0,1,4,0,0,4,0,1,4
drawn,0,1,0,4,0,0,1,0,0,8
dream,0,0,0,0,0,0,0,0,1,0
dri,1,0,26,1,1,0,0,0,0,1
drift,0,0,0,1,2,0,0,0,0,0
drink,0,1,0,0,0,0,0,0,0,0
drive,0,1,0,0,0,0,0,0,2,0
driven,1,0,0,0,0,0,0,1,0,1
drop,0,0,0,0,0,0,0,2,0,0
drought,0,0,2,1,0,0,0,0,0,0
drove,1,0,0,0,0,0,0,0,0,0
drown,0,0,0,0,0,0,0,0,1,0
drum,0,0,1,0,0,0,0,0,0,0
du,0,0,0,0,1,0,0,0,0,0
dublin,0,0,0,0,0,0,0,0,1,0
duck,0,0,2,1,0,0,0,0,0,1
duckl,0,1,0,0,0,0,0,0,0,0
duckmol,0,0,4,0,0,0,0,0,0,1
duckwe,0,0,0,1,0,0,0,0,0,0
ductless,0,0,0,0,0,0,0,0,0,1
due,2,1,9,0,1,2,1,1,2,0
duffu,0,0,0,0,0,0,0,0,0,1
dug,0,1,0,0,0,0,0,0,0,0
dull,5,1,0,0,0,1,0,0,0,0
dullest,0,0,0,0,1,0,0,0,0,0
durat,0,0,0,0,0,0,0,0,0,2
dust,0,0,1,4,1,1,1,0,0,2
dwarf,0,0,0,0,0,1,0,0,0,0
dwell,0,0,1,0,0,0,0,0,0,0
dwindl,0,0,1,0,0,0,0,0,1,0
dynam,0,0,1,0,0,0,0,0,1,1
dynamo,6,0,0,0,0,0,0,0,0,1
e,3,1,13,14,0,0,1,2,24,14
eagl,0,2,0,1,0,0,0,0,0,1
ear,0,1,2,0,0,0,0,0,0,1
earli,0,1,2,8,2,0,0,0,1,3
earlier,2,0,0,1,1,1,0,0,0,0
earliest,0,0,3,0,0,0,0,0,0,1
earth,22,1,17,38,5,12,9,12,59,37
earthworm,0,1,2,8,0,0,0,0,0,2
easi,0,2,4,0,0,0,1,2,1,0
easier,0,0,1,1,1,0,0,0,1,0
easiest,0,0,1,0,0,0,0,0,0,0
easili,2,1,1,0,1,0,0,0,1,1
east,0,0,1,0,0,0,0,0,0,0
easygo,0,0,2,0,0,0,0,0,0,0
eat,0,1,2,0,0,0,0,0,0,0
eaten,0,0,1,0,0,0,0,0,0,0
eater,0,0,1,0,0,0,0,0,0,0
ebook,0,0,0,0,0,0,0,0,13,5
eclips,1,0,0,0,1,1,0,1,0,9
econom,1,0,0,0,0,0,0,0,0,0
economis,0,0,2,0,0,0,0,0,0,0
eddington,2,0,0,0,0,0,0,0,0,2
edg,1,1,0,1,4,3,1,1,0,2
edit,0,0,0,0,0,0,0,0,5,1
educ,0,4,2,0,0,0,0,0,1,2
eel,0,0,1,1,0,0,0,0,0,1
effac,0,1,0,0,0,0,0,0,0,0
effect,5,4,6,3,4,3,1,3,8,1
effici,0,3,0,0,0,0,0,0,0,0
effort,0,0,1,0,0,0,0,0,5,0
egg,0,5,15,25,0,0,0,0,0,4
eight,0,0,0,0,1,0,0,0,0,6
eighteen,0,0,1,0,0,0,0,0,0,1
eighth,1,0,0,0,0,0,0,0,0,1
eighti,4,0,0,0,0,1,0,0,0,2
ein,0,0,0,0,0,0,0,0,1,0
einstein,0,0,0,0,0,0,0,0,3,2
either,2,0,1,1,0,2,0,0,2,0
eject,2,0,0,0,0,0,0,0,0,0
elast,0,0,0,0,0,0,0,0,1,0
elder,0,0,0,0,0,0,1,0,0,0
elect,0,0,0,0,0,0,0,0,1,0
electr,75,0,0,1,0,1,0,1,9,8
electrician,1,0,0,0,0,0,0,0,0,0
electrif,0,0,0,0,0,1,0,0,0,0
electrifi,9,0,0,0,0,0,0,0,0,1
electro,4,0,0,0,0,0,0,0,0,0
electron,102,0,0,0,0,0,0,0,33,10
element,19,0,1,3,1,2,0,13,1,5
elementari,0,0,0,1,0,0,0,0,0,1
eleph,0,2,2,0,0,0,0,0,0,0
elev,0,0,4,1,0,0,0,0,0,0
eleven,0,0,0,0,0,0,0,1,0,0
eleventh,0,0,0,0,0,0,1,0,0,1
elimin,0,0,2,1,0,0,0,0,0,0
elliot,0,0,0,0,0,0,0,0,0,1
elliott,0,0,0,0,0,0,0,0,0,2
elong,0,0,2,0,1,0,0,0,0,0
eloqu,0,0,4,0,0,0,0,0,0,0
els,0,0,0,0,0,1,0,0,0,1
elsewher,0,0,1,2,0,0,0,0,0,0
